i,timestamp,prev_timestamp,delta,difficulty,boundary
184,1516536908,1516536854,54,1696,68273637522002473716728175123047115479522396618891842004397160382024250966
185,1516536917,1516536908,9,1807,64079739478315548103802426678853297096441607451931690115914545660162218948
186,1516536941,1516536917,24,2820,41061024552239785611195384754853868033074462647390270935977866669472741007
187,1516537020,1516536941,79,3936,29418721859074236642167425053020301791989325372368029481569508132091750416
188,1516537026,1516537020,6,3115,37172420300904075577390364368760163034757619475326023768686222795477730221
189,1516537091,1516537026,65,4965,23321669534202657688533934543542378218181265793683900108652081371180892173
190,1516537116,1516537091,25,4693,24673362292204601624455782017619413563449815611685609213606985725104012282
191,1516537141,1516537116,25,6499,17816908637839082231661945685288184005734726060261665493069331282953243520
192,1516537323,1516537141,182,9000,12865787693035132824841220556520878650363331629515618226606398223101458848
193,1516537323,1516537323,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
194,1516537324,1516537323,1,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
195,1516537324,1516537324,0,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
196,1516537325,1516537324,1,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
197,1516537325,1516537325,0,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
198,1516537326,1516537325,1,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
199,1516537328,1516537326,2,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
200,1516537334,1516537328,6,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
201,1516537334,1516537334,0,54,2144297948839188804140203426086813108393888604919269704434399703850243141480
202,1516537335,1516537334,1,89,1301034710531642645208662752906605706216516681636410831904017797841720557752
203,1516537337,1516537335,2,146,793096501625453393312130034306081560638835511408497013968887561698035134520
204,1516537340,1516537337,3,238,486521383350068047998197416002890369131386490191767075796040268940811469075
205,1516537354,1516537340,14,386,299979505796155946693189080333388362314170944729638766941599958569723133782
206,1516537357,1516537354,3,580,199641533167786543833743077601186048022879283906276834550788937944677809724
207,1516537362,1516537357,5,943,122791186890048987723829252395215172696998923293362210010029251333948175652
208,1516537391,1516537362,29,1512,76582069601399600147864408074529039585496021604259632301228560851794397910
209,1516537398,1516537391,7,2026,57153054904894469606895846499845956492235925303869972378804335640628395676
210,1516537432,1516537398,34,3206,36117307934284527580652209921611948800146595341746900823286832192112641809
211,1516537452,1516537432,20,4122,28091239504443521451618385494587071289002907488025367307000869482754276962
212,1516537483,1516537452,31,5934,19513328149193831382468989721720240622391301763673839575237206607332849619
213,1516537636,1516537483,153,7826,14795820244993124894399563635150512120274723315313131106498541273691940920
214,1516537637,1516537636,1,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
215,1516537637,1516537637,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
216,1516537637,1516537637,0,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
217,1516537639,1516537637,2,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
218,1516537640,1516537639,1,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
219,1516537640,1516537640,0,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
220,1516537640,1516537640,0,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
221,1516548675,1516537640,11035,36,3216446923258783206210305139130219662590832907378904556651599555775364712220
222,1516548676,1516548675,1,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
223,1516548677,1516548676,1,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
224,1516548679,1516548677,2,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
225,1516548680,1516548679,1,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
